PMID,Title,Authors,Journal,Publication Date,Abstract,Publication Type,MeSH Terms
38429079,Trajectories of physical well-being among adults with acute myeloid leukemia.,"Jensen-Battaglia Marielle, Sohn Michael B, Consagra William, Wang Ying, Zhang Zhihong, LoCastro Marissa, Davis Jenae, Buettner Katheryn, Mortaz Soroush, El-Jawahri Areej R, Loh Kah Poh",Blood advances,"{'Year': '2024', 'Month': 'Jun', 'Day': '11'}","Patients with acute myeloid leukemia (AML) often undergo physical decline leading to negative outcomes. Identification of distinct trajectories may help guide clinical decision-making and supportive care interventions. We built group-based trajectory models (GBTM) to find trajectories of change in the Functional Assessment of Cancer Therapy Physical Well-Being (FACT-PWB) subscale (up to 5 time points over 0 to 200 days of follow-up) using data from adults with newly diagnosed AML in 4 supportive care studies. We also estimated the association of baseline characteristics (age, marital status, education, AML risk, baseline FACT-PWB, depression, and anxiety) with group membership. Among 343 patients with ≥2 FACT-PWB scores, mean age was 69.6 years (standard deviation, 12.1); most had intermediate-risk AML (n = 178 [51.8%]), received intensive treatment (n = 244 [71.1%]), and died during follow-up (n = 199 [58.0%]). The GBTM with 4 distinct trajectories showed the best fit. The largest group (n = 153 [45.0%]) showed slight improvement, whereas the smallest (n = 8 [2.4%]) experienced early decline with later improvement. Baseline FACT-PWB was the only characteristic statistically significantly associated with group membership. Adults with AML show distinct trajectories of physical well-being, and many experience some decline. Exploring trajectories of self-reported and objective physical function may inform decision-making and interventions. These trials were registered at www.ClinicalTrials.gov as #NCT02975869, #NCT03310918, and #NCT03372291.",Journal Article,"Humans, Leukemia, Myeloid, Acute, Aged, Female, Male, Middle Aged, Adult, Quality of Life, Aged, 80 and over"
36655338,Psychological mobile app for patients with acute myeloid leukemia: A pilot randomized clinical trial.,"El-Jawahri Areej, Luskin Marlise R, Greer Joseph A, Traeger Lara, Lavoie Mitchell, Vaughn Dagny Marie, Andrews Stephanie, Yang Daniel, Boateng Kofi Y, Newcomb Richard A, Ufere Nneka N, Fathi Amir T, Hobbs Gabriela, Brunner Andrew, Abel Gregory A, Stone Richard M, DeAngelo Daniel J, Wadleigh Martha, Temel Jennifer S",Cancer,"{'Year': '2023', 'Month': 'Apr', 'Day': '01'}","Patients with acute myeloid leukemia (AML) experience a substantial decline in quality of life (QoL) and mood during their hospitalization for intensive chemotherapy, yet few interventions have been developed to enhance patient-reported outcomes during treatment.","Randomized Controlled Trial, Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","Humans, Quality of Life, Mobile Applications, Pilot Projects, Anxiety, Leukemia, Myeloid, Acute, Depression"
39312920,"Venetoclax plus decitabine as a bridge to allogeneic haematopoietic stem-cell transplantation in older patients with acute myeloid leukaemia (VEN-DEC GITMO): final report of a multicentre, single-arm, phase 2 trial.","Russo Domenico, Polverelli Nicola, Bernardi Simona, Santarone Stella, Farina Mirko, Borlenghi Erika, Onida Francesco, Castagna Luca, Bramanti Stefania, Carella Angelo Michele, Sorasio Roberto, Martino Massimo, Alati Caterina, Olivieri Attilio, Beltrami Germana, Curti Antonio, Vetro Calogero, Leotta Salvatore, Mancini Valentina, Terruzzi Elisabetta, Bernardi Massimo, Galieni Piero, Musto Pellegrino, Cerretti Raffaella, Giaccone Luisa, Skert Cristina, Radici Vera, Vezzoli Marika, Calza Stefano, Leoni Alessandro, Garuffo Luca, Bonvicini Cristian, Pellizzeri Simone, Malagola Michele, Ciceri Fabio",The Lancet. Haematology,"{'Year': '2024', 'Month': 'Nov'}",Access to allogeneic haematopoietic stem-cell transplantation (HSCT) remains challenging for older patients (aged >60 years) with acute myeloid leukaemia. We aimed to evaluate the efficacy of venetoclax plus decitabine as first-line therapy and bridge to transplantation in this patient population.,"Journal Article, Clinical Trial, Phase II, Multicenter Study","Humans, Leukemia, Myeloid, Acute, Bridged Bicyclo Compounds, Heterocyclic, Decitabine, Hematopoietic Stem Cell Transplantation, Male, Sulfonamides, Female, Aged, Middle Aged, Antineoplastic Combined Chemotherapy Protocols, Transplantation, Homologous"
39039086,C-JUN overexpressing CAR-T cells in acute myeloid leukemia: preclinical characterization and phase I trial.,"Zuo Shiyu, Li Chuo, Sun Xiaolei, Deng Biping, Zhang Yibing, Han Yajing, Ling Zhuojun, Xu Jinlong, Duan Jiajia, Wang Zelin, Yu Xinjian, Zheng Qinlong, Xu Xiuwen, Zong Jiao, Tian Zhenglong, Shan Lingling, Tang Kaiting, Huang Huifang, Song Yanzhi, Niu Qing, Zhou Dongming, Feng Sizhou, Han Zhongchao, Wang Guoling, Wu Tong, Pan Jing, Feng Xiaoming",Nature communications,"{'Year': '2024', 'Month': 'Jul', 'Day': '22'}","Chimeric antigen receptor (CAR) T cells show suboptimal efficacy in acute myeloid leukemia (AML). We find that CAR T cells exposed to myeloid leukemia show impaired activation and cytolytic function, accompanied by impaired antigen receptor downstream calcium, ZAP70, ERK, and C-JUN signaling, compared to those exposed to B-cell leukemia. These defects are caused in part by the high expression of CD155 by AML. Overexpressing C-JUN, but not other antigen receptor downstream components, maximally restores anti-tumor function. C-JUN overexpression increases costimulatory molecules and cytokines through reinvigoration of ERK or transcriptional activation, independent of anti-exhaustion. We conduct an open-label, non-randomized, single-arm, phase I trial of C-JUN-overexpressing CAR-T in AML (NCT04835519) with safety and efficacy as primary and secondary endpoints, respectively. Of the four patients treated, one has grade 4 (dose-limiting toxicity) and three have grade 1-2 cytokine release syndrome. Two patients have no detectable bone marrow blasts and one patient has blast reduction after treatment. Thus, overexpressing C-JUN endows CAR-T efficacy in AML.","Journal Article, Clinical Trial, Phase I","Humans, Leukemia, Myeloid, Acute, Receptors, Chimeric Antigen, Immunotherapy, Adoptive, Middle Aged, Male, Female, Proto-Oncogene Proteins c-jun, Animals, T-Lymphocytes, Aged, Adult, Cell Line, Tumor, Mice"
37604981,"Glasdegib plus intensive or non-intensive chemotherapy for untreated acute myeloid leukemia: results from the randomized, phase 3 BRIGHT AML 1019 trial.","Sekeres Mikkael A, Montesinos Pau, Novak Jan, Wang Jianxiang, Jeyakumar Deepa, Tomlinson Benjamin, Mayer Jiri, Jou Erin, Robak Tadeusz, Taussig David C, Dombret Hervé, Merchant Akil, Shaik Naveed, O'Brien Thomas, Roh Whijae, Liu Xueli, Ma Wendy, DiRienzo Christine G, Chan Geoffrey, Cortes Jorge E",Leukemia,"{'Year': '2023', 'Month': 'Oct'}","This is the primary report of the randomized, placebo-controlled phase 3 BRIGHT AML 1019 clinical trial of glasdegib in combination with intensive chemotherapy (cytarabine and daunorubicin) or non-intensive chemotherapy (azacitidine) in patients with untreated acute myeloid leukemia. Overall survival (primary endpoint) was similar between the glasdegib and placebo arms in the intensive (n = 404; hazard ratio [HR] 1.05; 95% confidence interval [CI]: 0.782-1.408; two-sided p = 0.749) and non-intensive (n = 325; HR 0.99; 95% CI: 0.768-1.289; two-sided p = 0.969) studies. The proportion of patients who experienced treatment-emergent adverse events was similar for glasdegib versus placebo (intensive: 99.0% vs. 98.5%; non-intensive: 99.4% vs. 98.8%). The most common treatment-emergent adverse events were nausea, febrile neutropenia, and anemia in the intensive study and anemia, constipation, and nausea in the non-intensive study. The addition of glasdegib to either cytarabine and daunorubicin or azacitidine did not significantly improve overall survival and the primary efficacy endpoint for the BRIGHT AML 1019 phase 3 trial was not met. Clinical trial registration: ClinicalTrials.gov: NCT03416179.","Randomized Controlled Trial, Clinical Trial, Phase III, Journal Article, Research Support, Non-U.S. Gov't","Humans, Antineoplastic Combined Chemotherapy Protocols, Leukemia, Myeloid, Acute, Daunorubicin, Cytarabine, Azacitidine, Anemia, Nausea"
31516032,Glasdegib plus intensive/nonintensive chemotherapy in untreated acute myeloid leukemia: BRIGHT AML 1019 Phase III trials.,"Cortes Jorge E, Dombret Hervé, Merchant Akil, Tauchi Tetsuzo, DiRienzo Christine G, Sleight Barbara, Zhang Xiaoxi, Leip Eric P, Shaik Naveed, Bell Timothy, Chan Geoffrey, Sekeres Mikkael A","Future oncology (London, England)","{'Year': '2019', 'Month': 'Nov'}","Glasdegib, an oral Hedgehog pathway inhibitor, has been associated with significantly improved survival when combined with low-dose cytarabine in patients with untreated acute myeloid leukemia (AML) who were unsuitable for intensive chemotherapy, when compared with low-dose cytarabine alone. BRIGHT AML 1019 (NCT03416179) comprises two independently powered Phase III, randomized (1:1), double-blind global trials evaluating oral glasdegib 100 mg once daily or placebo plus one of two standard chemotherapy regimens in adults with untreated AML. The intensive trial combines glasdegib/placebo with cytarabine and daunorubicin (7 + 3), while the nonintensive trial combines glasdegib/placebo with azacitidine. The primary end point of both studies is overall survival. Secondary end points include response, time to and duration of response, event-free survival, safety, patient-reported outcomes and pharmacokinetics. <b>Trial registration number:</b> ClinicalTrials.gov identifier: NCT03416179.","Clinical Trial, Phase III, Journal Article, Randomized Controlled Trial","Antineoplastic Combined Chemotherapy Protocols, Benzimidazoles, Clinical Protocols, Female, Humans, Leukemia, Myeloid, Acute, Male, Phenylurea Compounds, Research Design"
37581981,Midostaurin plus daunorubicin or idarubicin for young and older adults with FLT3-mutated AML: a phase 3b trial.,"Sierra Jorge, Montesinos Pau, Thomas Xavier, Griskevicius Laimonas, Cluzeau Thomas, Caillot Denis, Legrand Ollivier, Minotti Clara, Luppi Mario, Farkas Firas, Bengoudifa Bourras-Rezki, Gilotti Geralyn, Hodzic Sejla, Rambaldi Alessandro, Venditti Adriano",Blood advances,"{'Year': '2023', 'Month': 'Nov', 'Day': '14'}","The pivotal RATIFY study demonstrated midostaurin (50 mg twice daily) with standard chemotherapy significantly reduced mortality in adult patients (<60 years) with newly diagnosed (ND) FLT3mut acute myeloid leukemia (AML). Considering that AML often present in older patients who show poor response to chemotherapy, this open-label, multicenter phase 3b trial was designed to further assess safety and efficacy of midostaurin plus chemotherapy in induction, consolidation, and maintenance monotherapy in young (≤60 years) and older (>60 years) patients with FLT3mut ND-AML. Compared with RATIFY, this study extended midostaurin treatment from 14 days to 21 days, substituted anthracyclines (idarubicin or daunorubicin), and introduced variation in standard combination chemotherapy dosing (""7+3"" or ""5+2"" in more fragile patients). Total 301 patients (47.2% >60 years and 82.7% with FLT3-ITDmut) of median age 59 years entered induction phase. Overall, 295 patients (98.0%) had at least 1 adverse event (AE), including 254 patients (84.4%) with grade ≥3 AE. The grade ≥3 serious AEs occurred in 134 patients. No difference was seen in AE frequency between age groups, but grade ≥3AE frequency was higher in older patients. Overall, complete remission (CR) rate including incomplete hematologic recovery (CR + CRi) (80.7% [95% confidence interval, 75.74-84.98]) was comparable between age groups (≤60 years [83.5%]; >60 to ≤70 years [82.5%]; in patients >70 years [64.1%]) and the type of anthracycline used in induction. CR + CRi rate was lower in males (76.4%) than females (84.4%). Overall, the safety and efficacy of midostaurin remains consistent with previous findings, regardless of age, sex, or induction regimen. The trial is registered at www.clinicaltrials.gov as #NCT03379727.","Clinical Trial, Phase III, Multicenter Study, Journal Article, Research Support, Non-U.S. Gov't","Male, Female, Humans, Aged, Middle Aged, Daunorubicin, Idarubicin, Leukemia, Myeloid, Acute, Staurosporine, Antibiotics, Antineoplastic, Anthracyclines, fms-Like Tyrosine Kinase 3"
37576257,The application of traditional Chinese medicine nursing combined with the health education standard path in acute myeloid leukaemia.,"Zhang Jianhua, Ma Jing, Xie Qingqing, Li Jianmei, Zheng Linkang",Heliyon,"{'Year': '2023', 'Month': 'Aug'}",The standard path of health education is a standardised health education method formulated according to the characteristics of the disease in question. This study aimed to explore the effect of traditional Chinese medicine (TCM) nursing combined with the health education standard path in terms of acute myeloid leukaemia (AML).,Journal Article,
38473239,Preclinical Characterization of the Anti-Leukemia Activity of the CD33/CD16a/NKG2D Immune-Modulating TriNKET<sup>®</sup> CC-96191.,"Lunn-Halbert Margaret C, Laszlo George S, Erraiss Sarah, Orr Mark T, Jessup Heidi K, Thomas Heather J, Chan Henry, Jahromi Mahan A, Lloyd Jonathan, Cheung Ann F, Chang Gregory P, Dichwalkar Tanmay, Fallon Daniel, Grinberg Asya, Rodríguez-Arbolí Eduardo, Lim Sheryl Y T, Kehret Allie R, Huo Jenny, Cole Frances M, Scharffenberger Samuel C, Walter Roland B",Cancers,"{'Year': '2024', 'Month': 'Feb', 'Day': '22'}","Increasing efforts are focusing on natural killer (NK) cell immunotherapies for AML. Here, we characterized CC-96191, a novel CD33/CD16a/NKG2D immune-modulating TriNKET<sup>®</sup>. CC-96191 simultaneously binds CD33, NKG2D, and CD16a, with NKG2D and CD16a co-engagement increasing the avidity for, and activation of, NK cells. CC-96191 was broadly active against human leukemia cells in a strictly CD33-dependent manner, with maximal efficacy requiring the co-engagement of CD16a and NKG2D. A frequent CD33 single nucleotide polymorphism, R69G, reduced CC-96191 potency but not maximal activity, likely because of reduced CD33 binding. Similarly, the potency, but not the maximal activity, of CC-96191 was reduced by high concentrations of soluble CD33; in contrast, the soluble form of the NKG2D ligand MICA did not impact activity. In the presence of CD33+ AML cells, CC-96191 activated NK cells but not T cells; while maximum anti-AML efficacy was similar, soluble cytokine levels were 10- to >100-fold lower than with a CD33/CD3 bispecific antibody. While CC-96191-mediated cytolysis was not affected by ABC transporter proteins, it was reduced by anti-apoptotic BCL-2 family proteins. Finally, in patient marrow specimens, CC-96191 eliminated AML cells but not normal monocytes, suggesting selectivity of TriNKET-induced cytotoxicity toward neoplastic cells. Together, these findings support the clinical exploration of CC-96191 as in NCT04789655.",Journal Article,
38977430,"CREST-UK: Real-world effectiveness, safety and outpatient delivery of CPX-351 for first-line treatment of newly diagnosed therapy-related AML and AML with myelodysplasia-related changes in the UK.","Mehta Priyanka, Campbell Victoria, Maddox Jamie, Floisand Yngvar, Kalakonda Anita J M, O'Nions Jenny, Coats Thomas, Nagumantry Sateesh, Hodgson Katherine, Whitmill Richard, Amott Ian, Flynn Gillian, Taussig David, Zhao Rui, Cunningham Nicholas, Roset Montse, Cuadras Daniel, Medalla Greg, Kuter Hayley, Park Saemi, Legg Alex, Khan Anjum B",British journal of haematology,"{'Year': '2024', 'Month': 'Oct'}","Favourable outcomes with CPX-351 versus conventional 7 + 3 were demonstrated in the pivotal phase III trial in adults aged 60-75 years with newly diagnosed, highrisk/secondary acute myeloid leukaemia (AML). As a complement to the clinical trial and to address important data gaps, the CPX-351 Real-World Effectiveness and SafeTy (CREST-UK; NCT05169307) study evaluated the use of CPX-351 in routine clinical practice in the UK, in 147 patients with newly diagnosed therapy-related AML or AML with myelodysplasia-related changes. Best response of complete remission or complete remission with incomplete platelet or neutrophil recovery was achieved by 53% of evaluable patients. Kaplan-Meier median overall survival (OS) was 12.8 months (95% confidence interval 9.2-15.3). Fifty (34%) patients proceeded to haematopoietic cell transplantation (HCT); median OS landmarked from the HCT date was not reached. There were no new safety concerns with CPX-351 identified in CREST-UK. Patients treated with CPX-351 in the outpatient setting spent an average of 24.4, 16.7, 28.2, and 27.7 fewer days on the ward compared with inpatients during first induction, second induction, first consolidation, and second consolidation, respectively. The results from CREST-UK provide valuable insights into the effectiveness, safety, and outpatient delivery of CPX-351 in routine clinical practice in the UK.","Journal Article, Multicenter Study, Clinical Trial, Phase III","Humans, Leukemia, Myeloid, Acute, Aged, Middle Aged, Male, Female, Cytarabine, United Kingdom, Myelodysplastic Syndromes, Daunorubicin, Antineoplastic Combined Chemotherapy Protocols, Treatment Outcome, Adult, Hematopoietic Stem Cell Transplantation, Neoplasms, Second Primary"
40044655,Impact of UGT1A4 Polymorphisms on the Posaconazole Serum Trough Concentrations in Patients with Acute Myeloid Leukemia Receiving Delayed-Release Tablets.,"Parant François, Gagnieu Marie-Claude, Di-Pilla Laurie, Deloire Alexandre, Joassard Anaëlle, Millet Aurélien, Barthélémy David, Payen Léa, Ducastelle-Lepretre Sophie",Therapeutic drug monitoring,"{'Year': '2025', 'Month': 'Mar', 'Day': '04'}","Posaconazole (PCZ) is recommended for antifungal prophylaxis in neutropenic patients with acute myeloid leukemia (AML). Although the delayed-release (DR) tablet of PCZ has better bioavailability than the oral suspension, the serum target trough concentrations of PCZ are not achieved in all patients. Because the metabolism of PCZ is mainly mediated by uridine diphosphate glucuronosyltransferase 1A4 (UGT1A4), we investigated whether UGT1A4 polymorphisms affect PCZ exposure.",Journal Article,
38896056,Evolving patterns and clinical outcome of genetic studies performed at diagnosis in acute myeloid leukemia patients: Real life data from the PETHEMA Registry.,"Labrador Jorge, Martínez-Cuadrón David, Boluda Blanca, Serrano Josefina, Gil Cristina, Pérez-Simón José A, Bernal Teresa, Bergua Juan M, Martínez-López Joaquín, Rodríguez-Medina Carlos, Vidriales María B, García-Boyero Raimundo, Algarra Lorenzo, Polo Marta, Sayas María J, Tormo Mar, Alonso-Domínguez Juan M, Herrera Pilar, Lavilla Esperanza, Ramos Fernando, Amigo María L, Vives-Polo Susana, Rodríguez-Macías Gabriela, Mena-Durán Armando, Pérez-Encinas Manuel M, Arce-Fernández Olga, Cuello Rebeca, Sánchez-García Joaquín, Gómez-Casares María T, Chillón María C, Calasanz María J, Ayala Rosa, Rodriguez-Veiga Rebeca, Barragán Eva, Montesinos Pau",Cancer,"{'Year': '2024', 'Month': 'Oct', 'Day': '15'}","There are no studies assessing the evolution and patterns of genetic studies performed at diagnosis in acute myeloid leukemia (AML) patients. Such studies could help to identify potential gaps in our present diagnostic practices, especially in the context of increasingly complex procedures and classifications.",Journal Article,"Humans, Leukemia, Myeloid, Acute, Nucleophosmin, Middle Aged, Male, Female, Aged, Registries, Adult, fms-Like Tyrosine Kinase 3, High-Throughput Nucleotide Sequencing, Aged, 80 and over, Genetic Testing, Young Adult, Adolescent, Mutation"
34955406,Combinatorial antigen targeting strategies for acute leukemia: application in myeloid malignancy.,"Atilla Pinar Ataca, McKenna Mary K, Watanabe Norihiro, Mamonkin Maksim, Brenner Malcolm K, Atilla Erden",Cytotherapy,"{'Year': '2022', 'Month': 'Mar'}","Efforts to safely and effectively treat acute myeloid leukemia (AML) by targeting a single leukemia-associated antigen with chimeric antigen receptor (CAR) T cells have met with limited success, due in part to heterogeneous expression of myeloid antigens. The authors hypothesized that T cells expressing CARs directed toward two different AML-associated antigens would eradicate tumors and prevent relapse.","Clinical Study, Journal Article, Research Support, Non-U.S. Gov't","Animals, Cell Line, Tumor, Immunotherapy, Adoptive, Interleukin-3 Receptor alpha Subunit, Leukemia, Lymphocytic, Chronic, B-Cell, Leukemia, Myeloid, Acute, T-Lymphocytes"
35740603,Phase 1/2 Trial of CLAG-M with Dose-Escalated Mitoxantrone in Combination with Fractionated-Dose Gemtuzumab Ozogamicin for Newly Diagnosed Acute Myeloid Leukemia and Other High-Grade Myeloid Neoplasms.,"Godwin Colin D, Rodríguez-Arbolí Eduardo, Othus Megan, Halpern Anna B, Appelbaum Jacob S, Percival Mary-Elizabeth M, Hendrie Paul C, Oehler Vivian G, Keel Siobán B, Abkowitz Janis L, Cooper Jason P, Cassaday Ryan D, Estey Elihu H, Walter Roland B",Cancers,"{'Year': '2022', 'Month': 'Jun', 'Day': '14'}","Gemtuzumab ozogamicin (GO) improves outcomes when added to intensive AML chemotherapy. A meta-analysis suggested the greatest benefit when combining fractionated doses of GO (GO3) with 7 + 3. To test whether GO3 can be safely used with high intensity chemotherapy, we conducted a phase 1/2 study of cladribine, high-dose cytarabine, G-CSF, and dose-escalated mitoxantrone (CLAG-M) in adults with newly diagnosed AML or other high-grade myeloid neoplasm (NCT03531918). Sixty-six patients with a median age of 65 (range: 19-80) years were enrolled. Cohorts of six and twelve patients were treated in phase 1 with one dose of GO or three doses of GO (GO3) at 3 mg/m<sup>2</sup> per dose. Since a maximum-tolerated dose was not reached, the recommended phase 2 dose (RP2D) was declared to be GO3. At RP2D, 52/60 (87%) patients achieved a complete remission (CR)/CR with incomplete hematologic recovery (CRi), 45/52 (87%) without flow cytometric measurable residual disease (MRD). Eight-week mortality was 0%. Six- and twelve-month event-free survival (EFS) were 73% and 58%; among favorable-risk patients, these estimates were 100% and 95%. Compared to 186 medically matched adults treated with CLAG-M alone, CLAG-M/GO3 was associated with better survival in patients with favorable-risk disease (EFS: <i>p</i> = 0.007; OS: <i>p</i> = 0.030). These data indicate that CLAG-M/GO3 is safe and leads to superior outcomes than CLAG-M alone in favorable-risk AML/high-grade myeloid neoplasm.",Journal Article,
34732236,Rationale and design of the 2 by 2 factorial design GnG-trial: a randomized phase-III study to compare two schedules of gemtuzumab ozogamicin as adjunct to intensive induction therapy and to compare double-blinded intensive postremission therapy with or without glasdegib in older patients with newly diagnosed AML.,"Jaramillo Sonia, Krisam Johannes, Le Cornet Lucian, Kratzmann Markus, Baumann Lukas, Sauer Tim, Crysandt Martina, Rank Andreas, Behringer Dirk, Teichmann Lino, Görner Martin, Trappe Ralf-Ulrich, Röllig Christoph, Krause Stefan, Hanoun Maher, Hopfer Olaf, Held Gerhard, Buske Sebastian, Fransecky Lars, Kayser Sabine, Schliemann Christoph, Schaefer-Eckart Kerstin, Al-Fareh Yousef, Schubert Jörg, Geer Thomas, Kaufmann Martin, Brecht Arne, Niemann Dirk, Kieser Meinhard, Bornhäuser Martin, Platzbecker Uwe, Serve Hubert, Baldus Claudia D, Müller-Tidow Carsten, Schlenk Richard F",Trials,"{'Year': '2021', 'Month': 'Nov', 'Day': '03'}","Overall survival remains poor in older patients with acute myeloid leukemia (AML) with less than 10% being alive after 5 years. In recent studies, a significant improvement in event-free, relapse-free and overall survival was shown by adding gemtuzumab ozogamicin (GO), a humanized antibody-drug conjugate directed against CD33, to intensive induction therapy once or in a sequential dosing schedule. Glasdegib, the small-molecule inhibitor of smoothened (SMO), also showed improved overall survival in patients not eligible for intensive chemotherapy when combined with low-dose cytarabine compared to low-dose cytarabine alone. These findings warrant further investigations in the phase III GnG trial.","Clinical Trial, Phase III, Journal Article, Randomized Controlled Trial","Aged, Aminoglycosides, Antibodies, Monoclonal, Humanized, Antineoplastic Combined Chemotherapy Protocols, Benzimidazoles, Gemtuzumab, Humans, Induction Chemotherapy, Leukemia, Myeloid, Acute, Middle Aged, Phenylurea Compounds"
34280257,Targeting intracellular WT1 in AML with a novel RMF-peptide-MHC-specific T-cell bispecific antibody.,"Augsberger Christian, Hänel Gerulf, Xu Wei, Pulko Vesna, Hanisch Lydia Jasmin, Augustin Angelique, Challier John, Hunt Katharina, Vick Binje, Rovatti Pier Eduardo, Krupka Christina, Rothe Maurine, Schönle Anne, Sam Johannes, Lezan Emmanuelle, Ducret Axel, Ortiz-Franyuti Daniela, Walz Antje-Christine, Benz Jörg, Bujotzek Alexander, Lichtenegger Felix S, Gassner Christian, Carpy Alejandro, Lyamichev Victor, Patel Jigar, Konstandin Nikola, Tunger Antje, Schmitz Marc, von Bergwelt-Baildon Michael, Spiekermann Karsten, Vago Luca, Jeremias Irmela, Marrer-Berger Estelle, Umaña Pablo, Klein Christian, Subklewe Marion",Blood,"{'Year': '2021', 'Month': 'Dec', 'Day': '23'}","Antibody-based immunotherapy is a promising strategy for targeting chemoresistant leukemic cells. However, classical antibody-based approaches are restricted to targeting lineage-specific cell surface antigens. By targeting intracellular antigens, a large number of other leukemia-associated targets would become accessible. In this study, we evaluated a novel T-cell bispecific (TCB) antibody, generated by using CrossMAb and knob-into-holes technology, containing a bivalent T-cell receptor-like binding domain that recognizes the RMFPNAPYL peptide derived from the intracellular tumor antigen Wilms tumor protein (WT1) in the context of HLA-A*02. Binding to CD3ε recruits T cells irrespective of their T-cell receptor specificity. WT1-TCB elicited antibody-mediated T-cell cytotoxicity against AML cell lines in a WT1- and HLA-restricted manner. Specific lysis of primary acute myeloid leukemia (AML) cells was mediated in ex vivo long-term cocultures by using allogeneic (mean ± standard error of the mean [SEM] specific lysis, 67 ± 6% after 13-14 days; n = 18) or autologous, patient-derived T cells (mean ± SEM specific lysis, 54 ± 12% after 11-14 days; n = 8). WT1-TCB-treated T cells exhibited higher cytotoxicity against primary AML cells than an HLA-A*02 RMF-specific T-cell clone. Combining WT1-TCB with the immunomodulatory drug lenalidomide further enhanced antibody-mediated T-cell cytotoxicity against primary AML cells (mean ± SEM specific lysis on days 3-4, 45.4 ± 9.0% vs 70.8 ± 8.3%; P = .015; n = 9-10). In vivo, WT1-TCB-treated humanized mice bearing SKM-1 tumors exhibited a significant and dose-dependent reduction in tumor growth. In summary, we show that WT1-TCB facilitates potent in vitro, ex vivo, and in vivo killing of AML cell lines and primary AML cells; these results led to the initiation of a phase 1 trial in patients with relapsed/refractory AML (#NCT04580121).","Journal Article, Research Support, Non-U.S. Gov't","Animals, Antibodies, Bispecific, Antineoplastic Agents, Immunological, Cell Line, Tumor, HLA-A2 Antigen, Humans, Leukemia, Myeloid, Acute, Mice, Peptides, Receptors, Antigen, T-Cell, T-Lymphocytes, Cytotoxic, Tumor Cells, Cultured, WT1 Proteins"
38809547,Lower intensity therapy with cladribine/low dose cytarabine/venetoclax in older patients with acute myeloid leukemia compares favorably with intensive chemotherapy among patients undergoing allogeneic stem cell transplantation.,"Senapati Jayastu, Kantarjian Hagop M, Bazinet Alexandre, Reville Patrick, Short Nicholas J, Daver Naval, Borthakur Gautam, Bataller Alex, Jabbour Elias, DiNardo Courtney, Haddad Fadi, Sasaki Koji, Popat Uday, Oran Betul, Alousi Amin M, Loghavi Sanam, Shpall Elizabeth, Garcia-Manero Guillermo, Ravandi Farhad, Kadia Tapan M",Cancer,"{'Year': '2024', 'Month': 'Oct', 'Day': '01'}","Allogeneic stem cell transplantation (SCT) remains the best consolidative modality in most patients with acute myeloid leukemia (AML). Along with factors directly pertaining to SCT, pretransplantation disease control, performance status, and prior treatment-related complications are important factors that affect posttransplantation survival outcomes.","Journal Article, Comparative Study, Clinical Trial, Phase II","Humans, Leukemia, Myeloid, Acute, Male, Aged, Female, Cladribine, Middle Aged, Cytarabine, Antineoplastic Combined Chemotherapy Protocols, Transplantation, Homologous, Retrospective Studies, Sulfonamides, Hematopoietic Stem Cell Transplantation, Bridged Bicyclo Compounds, Heterocyclic"
35704787,Phase II Study of Venetoclax Added to Cladribine Plus Low-Dose Cytarabine Alternating With 5-Azacitidine in Older Patients With Newly Diagnosed Acute Myeloid Leukemia.,"Kadia Tapan M, Reville Patrick K, Wang Xuemei, Rausch Caitlin R, Borthakur Gautam, Pemmaraju Naveen, Daver Naval G, DiNardo Courtney D, Sasaki Koji, Issa Ghayas C, Ohanian Maro, Montalban-Bravo Guillermo, Short Nicholas J, Jain Nitin, Ferrajoli Alessandra, Bhalla Kapil N, Jabbour Elias, Takahashi Koichi, Malla Rashmi, Quagliato Kelly, Kanagal-Shamanna Rashmi, Popat Uday R, Andreeff Michael, Garcia-Manero Guillermo, Konopleva Marina Y, Ravandi Farhad, Kantarjian Hagop M",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"{'Year': '2022', 'Month': 'Nov', 'Day': '20'}",The combination of venetoclax and 5-azacitidine (5-AZA) for older or unfit patients with acute myeloid leukemia (AML) improves remission rates and survival compared with 5-AZA alone. We hypothesized that the addition of venetoclax to cladribine (CLAD)/low-dose araC (low-dose cytarabine [LDAC]) alternating with 5-AZA backbone may further improve outcomes for older patients with newly diagnosed AML.,"Clinical Trial, Phase II, Journal Article, Research Support, N.I.H., Extramural","Aged, Humans, Antineoplastic Combined Chemotherapy Protocols, Azacitidine, Bridged Bicyclo Compounds, Heterocyclic, Cladribine, Cytarabine, Leukemia, Myeloid, Acute, Middle Aged, Aged, 80 and over"
