NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date
NCT04835519,Phase I/II Study of Enhanced CD33 CAR T Cells in Subjects With Relapsed or Refractory Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT04835519,COMPLETED,"This is a open-label, nonramdominzed, single-arm, Phase I/II Study to evaluate safety and tolerability of functionally enhanced CD33 CAR-T cells in subjects with relapsed or refractory acute myeloid leukemia. 25 subjects will be enrolled. Subjects will be pretreated with chemotherapy prior to infusion of CAR T cells: about 5 days before cells transfusion, the patients who planned to reinfuse CAR T cells were treated with fluorodarabine 30 mg/m\^2( body surface area) and cyclophosphamide 250 mg/m\^2( body surface area) for 3 days. Then the Bayesian optimal interval phase I/II (Boin12) trial design will be used in this study: The protocol preset 2 dose levels: Dose 1 (DL-1) was 5×10\^5 (±20%) CAR T cells/kg, and dose 2 (DL-2) was 1×10\^6 (±20%) CAR T cells/kg. Phase I was the dose exploration phase. After determining the optimal biological dose (OBD), phase II will be expanded at the OBD dose by 10 cases, enrollment will reach 25 cases, and the trial will be discontinued. Moreover, the first 3 enrolled subjects per dose group will be on one by one dosing regimen.

The expected initial dose of 5×10\^5 (±20%) CAR T cells/kg could not be achieved due to preparation problems and should be placed in the reduced dose group. The number of cells will be collected by the above regimen as far as possible. If this is not possible, subjects can still enter the study upon investigator consideration but require documentation of dosing. The lowest dose is 1×10\^5 CAR T cells/kg (±20%), and the highest dose is 1×10\^6 CAR T cells/kg (±20%). If the dose is out of the range mentioned above, entry into the trial will not be considered.",NO,Acute Myeloid Leukemia|Relapse Leukemia|Refractory Acute Myeloid Leukemia,BIOLOGICAL: chimeric antigen receptor T cell,"Incidence and type of dose-limiting toxicity (DLT), day 21 post intravenous CAR T cell infusion|Incidence and severity of adverse events (AE), day 28 post intravenous CAR T cell infusion","CR (complete remission) rate and CRi (complete remission with incomplete blood count recovery) rate to the CAR-T treatment, day 15 post intravenous CAR T cell infusion|CR rate and CRi rate to the CAR-T treatment, day 28 post intravenous CAR T cell infusion",,Beijing Boren Hospital,,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-04-08,2023-05-19,2023-05-19
NCT05222984,"Navitoclax, Venetoclax, and Decitabine for the Treatment of Relapsed or Refractory Acute Myeloid Leukemia Previously Treated With Venetoclax",https://clinicaltrials.gov/study/NCT05222984,ACTIVE_NOT_RECRUITING,"This phase Ib trial is to find the side effect and best dose of navitoclax when given together with venetoclax and decitabine in treating patients with acute myeloid leukemia that has come back (relapsed) or does not respond to treatment (refractory) after previous treatment with venetoclax. Chemotherapy drugs, such as navitoclax, venetoclax, and decitabine, work in different ways to stop the growth of cancer cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading.",NO,Recurrent Acute Myeloid Leukemia|Refractory Acute Myeloid Leukemia,DRUG: Decitabine|BIOLOGICAL: Navitoclax|DRUG: Venetoclax,"Incidence of adverse events, Will be assessed and graded according to the National Cancer Institute-Common Terminology Criteria for Adverse Events version 5.0., Up to 1 year","Overall response rate, Will be calculated as the percent of evaluable patients that have confirmed complete response (CR) or complete response with incomplete hematopoiesis or partial response. Assessment of disease response will be made according to European LeukemiaNet criteria., Up to 1 year|Progression Free Survival (PFS), From the start of study treatment to the time of disease relapse, progression or death from any cause, whichever comes first. assessed up to 1 year, Assessed up to 1 year|Overall Survival (OS), Time from the start of study treatment to death from any cause., Assessed up to 1 year|Dose Limiting Toxicity (DLT), DLT will be evaluated in the first 35 days of treatment in the safety cohort to determine any dose limiting toxicities at this dose., Up to 35 days (1 cycle)","Change in percent blasts in bone marrow, Anti-leukemic activity (i.e. decrease in percent blasts) of navitoclax/venetoclax as assessed by disease in bone marrow (BM)., Baseline up to 1 year|Change in percent blasts in peripheral blood, Anti-leukemic activity (i.e. decrease in percent blasts) of navitoclax/venetoclax as assessed by disease in peripheral blood (PB)., Baseline up to 1 year",City of Hope Medical Center,National Cancer Institute (NCI),"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-07-29,2025-03-18,2025-03-18
NCT03793478,"Safety and Efficacy of Quizartinib in Children and Young Adults With Acute Myeloid Leukemia (AML), a Cancer of the Blood",https://clinicaltrials.gov/study/NCT03793478,ACTIVE_NOT_RECRUITING,"Quizartinib is an experimental drug. It is not approved for regular use. It can only be used in medical research.

Children or young adults with a certain kind of blood cancer (FLT3-ITD AML) might be able to join this study if it has come back after remission or is not responding to treatment.",NO,Acute Myeloid Leukemia,DRUG: Quizartinib|DRUG: Fludarabine|DRUG: Cytarabine|DRUG: Intrathecal (IT) triple chemotherapy prophylaxis|DRUG: Etoposide,"Number of dose-limiting toxicities (Phase 1), Re-induction Cycle 1 Day 1 up to Day 28 (each cycle is 28 days)|Composite complete remission (CRc) rate among participants with acute myeloid leukemia (AML) (Phase 1 and 2), CRc rate is defined as percentage of participants with best response of complete remission (CR) or CR with incomplete hematological recovery (CRi) after completion of up to 2 re-induction cycles, within 8 years, 8 months|Pharmacokinetic parameter area under the concentration curve for quizartinib and AC886 (Phase 1 and 2), Re-induction Phase 1 and 2,Cycle 1: Days 6, 20:Predose, 1 hour (Phase 1 only), 2, 4, and 6 hours; Days 7 and 21:24 hours; Phase 1 and 2 Cycle 2: Days 6 and 20:predose, 3 hours; Continuation Cycle 1 Days 1 and 15:predose, 2-4 hours (each cycle, 28 days)|Pharmacokinetic parameter apparent clearance (CL/F) for quizartinib and AC886 (Phase 1 and 2), Re-induction Phase 1 and 2,Cycle 1: Days 6, 20:Predose, 1 hour (Phase 1 only), 2, 4, and 6 hours; Days 7 and 21:24 hours; Phase 1 and 2 Cycle 2: Days 6 and 20:predose, 3 hours; Continuation Cycle 1 Days 1 and 15:predose, 2-4 hours (each cycle, 28 days)|Pharmacokinetic parameter apparent volume of distribution (Vz/F) for quizartinib and AC886 (Phase 1 and 2), Re-induction Phase 1 and 2,Cycle 1: Days 6, 20:Predose, 1 hour (Phase 1 only), 2, 4, and 6 hours; Days 7 and 21:24 hours; Phase 1 and 2 Cycle 2: Days 6 and 20:predose, 3 hours; Continuation Cycle 1 Days 1 and 15:predose, 2-4 hours (each cycle, 28 days)","Complete remission (CR) rate among participants with AML (Phase 1 and 2), CR rate is defined as the percentage of participants achieving CR after completion of up to 2 re-induction cycles, on Day 56 (± 3 Days) for the last subject, within 4 years|Complete remission with incomplete recovery (CRi) rate among participants with AML (Phase 1 and 2), CRi rate is defined as the percentage of participants achieving CRi after completion of up to 2 re-induction cycles, on Day 56 (± 3 Days) for the last subject, within 4 years|Duration of CR among participants with AML (Phase 1 and 2), Duration of CR is defined as the time from the first documented CR until documented relapse, within 8 years, 8 months|Duration of CRi among participants with AML (Phase 1 and 2), Duration of CRi is defined as the time from the first documented CRi until documented relapse, within 8 years, 8 months|Duration of composite complete remission (CRc) among participants with AML (Phase 1 and 2), Duration of CRc is defined as the time from the first documented CR or CRi until documented relapse, within 8 years, 8 months|Complete remission (CR) rate after completion of re-induction Cycle 1 among participants with AML (Phase 1 and 2), CR rate after completion of re-induction Cycle 1 is defined as the percentage of participants achieving a CR after completion of re-induction Cycle 1, on Day 56 (± 3 Days) for the last subject, within 4 years|Complete remission with incomplete recovery (CRi) rate after completion of re-induction Cycle 1 among participants with AML (Phase 1 and 2), CRi rate after completion of re-induction Cycle 1 is defined as the percentage of participants achieving a CRi after completion of re-induction Cycle 1, on Day 56 (± 3 Days) for the last subject, within 4 years|Composite complete remission (CRc) rate after completion of re-induction Cycle 1 among participants with AML (Phase 1 and 2), CRc rate after completion of re-induction Cycle 1 is defined as the percentage of participants achieving CRc after completion of re-induction Cycle 1, on Day 56 (± 3 Days) for the last subject, within 4 years|Time to relapse among participants with AML (Phase 1 and 2), Time to relapse is defined as the time from the first documented response (CR, CRi) until documented relapse, within 8 years, 8 months|Rate of relapse among participants with AML after 1, 2 and 3 years (Phase 1 and 2), Rate of relapse is defined as the percentage of participants who achieved CRc at the end of re-induction and had relapsed at 3 categorical time points Categories: 1 year, 2 years, 3 years, within 8 years, 8 months|Cumulative incidence of relapse among participants with AML at the end of study (Phase 1 and 2), Cumulative incidence of relapse at the end of the study is defined as the percentage of participants who achieved CRc at the end of re-induction and relapsed by the end of the study, within 8 years, 8 months|Overall survival among participants with AML at 1, 2, and 3 years (Phase 1 and 2), Overall survival is defined as the time from the start of re-induction therapy until death from any cause, within 8 years, 8 months|Event-free survival among participants with AML at 1, 2, and 3 years (Phase 1 and 2), Event-free survival is defined as the time from the start of re-induction therapy until the earliest date of the following:

* Refractory disease at the end of re-induction
* Relapse after CR or CRi
* Death from any cause at any time during the study, within 8 years, 8 months|Number of participants proceeding to high-dose conditioning therapy/allogeneic hematopoietic stem cell transplantation (HSCT) (including transplant-related mortality) among participants with AML (Phase 1 and 2), within 8 years, 8 months|Rate of CRc (CR or CRi) without minimal residual disease (MRD) using next generation sequencing among participants with AML (Phase 1 and 2), MRD is defined as the presence of leukemic cells in the bone marrow detected above a predefined cut-off level by a validated assay in participants who achieved a CR or CRi

Categories: at screening, at re-induction cycle 1, at re-induction cycle 2, at time of relapse, within 8 years, 8 months|Acceptability of including the palatability of quizartinib formulations among participants with AML (Phase 1 and 2), Acceptability is assessed by palatability using a 5-point hedonic scale (from ""Super bad"" to ""Super good"") for participants who are developmentally able to answer. If unable, the caregiver provides information in a free text field stating whether the participant spit it out, may not have liked the flavor, etc., within 8 years, 8 months",,Daiichi Sankyo,Innovative Therapies For Children with Cancer Consortium|Children's Oncology Group,"CHILD, ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2018-08-15,2027-05-01,2027-05-01
NCT04219163,Chimeric Antigen Receptor T-cells for the Treatment of AML Expressing CLL-1 Antigen,https://clinicaltrials.gov/study/NCT04219163,RECRUITING,"Patients eligible for this study have a type of blood cancer Acute Myeloid Leukemia (AML) which has come back or has not gone away after treatment.

The body has different ways of fighting disease and infection, and this research study combines two different ways of fighting cancer with antibodies and T cells with the hope that they will work together. T cells (also called T lymphocytes) are special infection-fighting blood cells that can kill other cells including tumor cells. Antibodies are types of proteins that protect the body from bacterial and other infectious diseases. Both antibodies and T cells have been used to treat patients with cancers; they have shown promise, but have not been strong enough to cure most patients when used alone.

T lymphocytes can kill tumor cells but there normally are not enough of them to kill all the tumor cells. Some researchers have taken T cells from a person's blood, grown more of them in the laboratory and then given them back to the person. The antibody used in this study targets CLL-1. This antibody sticks to AML cells because of a substance (protein) on the outside of these cells called CLL-1. For this study, the antibody to CLL-1 has been changed so that instead of floating free in the blood, it is now joined to the T cells. When T-cells contain an antibody that is joined to them, they are called chimeric antigen receptor T-cells or CAR-T cells.

In the laboratory, the investigators have also found that T cells work better if proteins that stimulate T cells are also added, such as one called CD28. Adding the CD28 makes the cells grow better and last longer in the body, thus giving the cells a better chance of killing the leukemia or lymphoma cells. In this study we are going to attach the CLL-1 chimeric receptor that has CD28 added to it to the patient's T cells. We will then test how long the cells last.

These CLL-1 chimeric antigen receptor T cells with CD28 are investigational products not approved by the Food and Drug Administration.",NO,Acute Myeloid Leukemia,BIOLOGICAL: CLL-1.CAR T cells,"Dose limiting toxicity (DLT) rate, To assess dose limiting toxicities per protocol-defined CLL-1.CAR T related adverse events and CTCAE v5.0, 4 weeks post T cell infusion","Overall Response Rate, To measure the anti-tumor effects of CLL-1.CAR T-cells in patients with acute myeloid malignancies., 4 weeks post T cell infusion",,Baylor College of Medicine,"The Methodist Hospital Research Institute|Center for Cell and Gene Therapy, Baylor College of Medicine","CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-07-09,2025-07-31,2038-07-31
NCT04010877,Multiple CAR-T Cell Therapy Targeting AML,https://clinicaltrials.gov/study/NCT04010877,UNKNOWN,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of multiple CAR T-cell therapy which combines CAR T cells against CLL-1 with CAR T cells targeting CD123 or CD33 in patients with relapsed and refractory AML. The study also aims to learn more about the function of CAR T cells and their persistency in AML patients.",NO,Acute Myeloid Leukemia,"BIOLOGICAL: CLL-1, CD33 and/or CD123-specific CAR gene-engineered T cells","Safety of infusion, Treatment-related adverse events are assessed by NCI CTCAE V4.0 criteria., 1 year","Clinical response, Objective responses (complete response (CR) + partial response (PR)) are assessed by the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 criteria., 1 year",,Shenzhen Geno-Immune Medical Institute,,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-08-01,2021-07-31,2023-12-31
NCT04158739,Flotetuzumab for the Treatment of Pediatric Recurrent or Refractory Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT04158739,ACTIVE_NOT_RECRUITING,"This phase I trial studies the side effects, best dose of flotetuzumab and how well it works in treating patients with acute myeloid leukemia (AML) that has come back (recurrent) or has not responded to treatment (refractory). This study also determines the safest dose of flotetuzumab to use in children with AML. As an immunotherapy, flotetuzumab may also cause changes in the body's normal immune system, which are also under study in this trial.",YES,Recurrent Acute Myeloid Leukemia|Refractory Acute Myeloid Leukemia,DRUG: Cytarabine|BIOLOGICAL: Flotetuzumab,"Dose Limiting Toxicities Due to Flotetuzumab, Number and percentage of patients experiencing dose limiting toxicities during cycle 1 that are possibly, probably, or definitely due to flotetuzumab by dose level and study part., Up to 29 days|Maximum Tolerated Dose or Recommended Phase 2 Dose of Flotetuzumab, Estimated maximum tolerated dose (MTD) or recommended phase 2 dose (RP2D) of Flotetuzumab defined by the maximum dose at which fewer than one-third of toxicity-evaluable participants experience a DLT. RP2D was established by study committee based off the toxicity profile of DL1 (500 ng/kg/day)., Up to 29 days","Maximum Concentration (C Max), Median with Minimum and Maximum for the maximum (peak) serum concentration measured on days 3-9 post-administration by dose level and study part., Up to 9 days|Antitumor Activity of Flotetuzumab, Number of response evaluable participants with response (CR/PR) using revised AML International Working Group criteria for response including CR: M1 bone marrow (\<5% blasts), ANC at least 1000/mm3 and platelet count at least 100,000/mm3; CRp: platelet transfusion independence; CRi: without platelet transfusion independence, CRc: revision to normal karyotype; PR: decrease at least 50% in percentage of blasts to 5% to 25% in bone marrow aspirate., Up to 2 years","Change in T-lymphocyte Population Numbers, Changes in T cell number will be described and exploratory analysis will be conducted to assess their correlation with clinical features including occurrence of infections and response. Disease response will be assessed according to the revised acute myeloid leukemia (AML) International Working Group (IWG) criteria and will be reported descriptively. Analyses will be descriptive and exploratory and hypothesis-generating in nature., Up to 180 days|CD123 Surface Expression, CD123 expression will be analyzed in an exploratory fashion, both using a binary scale and using a continuous scale to evaluate whether there are correlations between CD123 expression and anti-leukemia effects. Analyses will be descriptive and exploratory and hypothesis-generating in nature., Baseline",Children's Oncology Group,National Cancer Institute (NCI),"CHILD, ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-01-22,2022-09-30,2025-09-22
NCT04203316,Enasidenib for the Treatment of Relapsed or Refractory Acute Myeloid Leukemia Patients With an IDH2 Mutation,https://clinicaltrials.gov/study/NCT04203316,RECRUITING,"This phase II trial studies the side effects of enasidenib and sees how well it works in treating pediatric patients with acute myeloid leukemia that has come back after treatment (relapsed) or has been difficult to treat with chemotherapy (refractory). Patients must also have a specific genetic change, also called a mutation, in a protein called IDH2. Enasidenib may stop the growth of cancer cells by blocking the mutated IDH2 protein, which is needed for leukemia cell growth.",NO,Recurrent Acute Myeloid Leukemia|Refractory Acute Myeloid Leukemia,PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Aspiration|PROCEDURE: Bone Marrow Biopsy|DRUG: Enasidenib|DRUG: Enasidenib Mesylate,"Incidence of dose limiting toxicities of enasidenib, Frequencies (%) of patients with cycle 1 dose limiting toxicity stratified by dose level., Up to 28 days|Area under the plasma concentration versus time curve of enasidenib, A descriptive analysis of the area under the plasma concentration versus time curve of enasidenib during cycle 1 at pre-dose and 1, 2, 4, 6, and 24 hours post-dose including median, minimum and maximum stratified by dose level., Up to 2 days|Total plasma clearance of enasidenib, A descriptive analysis of the total plasma clearance of enasidenib during cycle 1 at pre-dose and 1, 2, 4, 6, and 24 hours post-dose including median, minimum and maximum by dose level., Up to 2 days|Elimination half-life of enasidenib, A descriptive analysis of the elimination half-life of enasidenib during cycle 1 at pre-dose and 1, 2, 4, 6, and 24 hours post-dose including median, minimum and maximum by dose level., Up to 2 days|Maximum concentration of enasidenib, A descriptive analysis of the maximum concentration of enasidenib during cycle 1 at pre-dose and 1, 2, 4, 6, and 24 hours post-dose including median, minimum and maximum by dose level., Up to 2 days","Plasma 2-HG levels of enasidenib, A descriptive analysis of the plasma 2-HG levels observed pre-dose at day 0, 28, and 84 of enasidenib including median, minimum and maximum by dose level., Up to 84 days|Overall Response Rate of enasidenib, Frequency (%) of patients with at least partial response by dose level., Up to 2 years|Composite complete remission rate (complete remission [CR]/ CR with incomplete hematologic recovery [CRi]), Will be reported in a table as frequency of response (%) for total overall response rate (ORR) stratified by dose level., Up to 2 years|Time to response of enasidenib, Median time to response with 95% confidence interval stratified by dose level., Up to 2 years|Time to complete remission of enasidenib, Median time to remission with 95% confidence interval stratified by dose level., Up to 2 years|Duration of response of enasidenib, Median duration of response with minimum and maximum stratified by dose level., Up to 2 years|Duration of complete response of enasidenib, Median duration of remission with minimum and maximum stratified by dose level., Up to 2 years|Event-free survival of enasidenib, Median time to event with 95% confidence interval stratified by dose level., Up to 2 years|Overall survival of enasidenib, Median time to death with 95% confidence interval stratified by dose level., Up to 2 years",,Children's Oncology Group,National Cancer Institute (NCI),"CHILD, ADULT",PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-08-14,2030-12-31,2030-12-31
NCT03507842,A Prospective Randomized Comparison of HDAC vs AD in the Induction Chemothrapy for AML.,https://clinicaltrials.gov/study/NCT03507842,UNKNOWN,"This trial is a single-center, non-blind, two-arm randomized prospective controlled trial to compare the effectiveness of two induction chemotherapy regimens (high-dose cytarabine plus daunorubicin \[HDAC\] vs. cytarabine plus high-dose daunorubicin \[AD\]) in acute myeloid leukemia (AML). The primary hypothesis of the study is that AD is superior to HDAC in terms of event-free survival (EFS, time from registration to induction failure, relapse, or death).",NO,Acute Myeloid Leukemia,DRUG: High dose Cytarabine|DRUG: Cytarabine|DRUG: Hign dose Daunorubicin,"Cumulative incidence of relapse, defined for all patients achieving CR; measured from the date of CR achievement until the date of relapse; patients not known to have relapsed are censored on the date they were last examined; patients who died without relapse are counted as a competing cause of failure, 3 years","Event-free survival, Defined for all patients; measured from the starting date of registration to the date of induction treatment failure, or relapse from CR, or death from any cause; patients not known to have any of these events are censored on the date they were examined, 3years|Overall survival, Defined for all patients; measured from the starting date of registration to the date of death from any cause-patients not known to have died at last follow-up are censored on the date they were last known to be alive, 3years",,Asan Medical Center,,"CHILD, ADULT",PHASE3,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-03-01,2020-12-31,2020-12-31
NCT05105152,PLAT-08: a Study of SC-DARIC33 CAR T Cells in Pediatric and Young Adults with Relapsed or Refractory CD33+ AML,https://clinicaltrials.gov/study/NCT05105152,RECRUITING,"A phase 1, open-label, non-randomized study enrolling pediatric and young adult patients with relapsed or refractory CD33+ leukemia with and without prior history of allogeneic hematopoietic cell transplantation, to examine the safety and feasibility of administering an autologous T cell product that has been genetically modified to express a Dimerizing Agent Regulated Immunoreceptor Complex (DARIC).",NO,"Acute Myeloid Leukemia|Acute Myeloid Leukemia Refractory|Acute Myeloid Leukemia, in Relapse",BIOLOGICAL: SC-DARIC33,"Adverse events associated with SC-DARIC33 cell product infusions will be assessed, The type, frequency, severity, and duration of adverse events will be summarized, 28 days post-infusion|Ability to successfully manufacture SC-DARIC33, Measure of the number of successfully manufactured SC-DARIC33 products, 28 days","Acute Myeloid Leukemia response to SC-DARIC in subjects with relapsed or refractory CD33+ myeloid leukemia will be assessed, The efficacy of the SC-DARIC33 assessed based on the bone marrow aspirate testing following SC-DARIC infusion, 28 days post-infusion",,Seattle Children's Hospital,Regeneron Pharmaceuticals,"CHILD, ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-11-29,2026-02-28,2041-01-31
NCT04678336,CD123 Redirected T Cells for AML in Pediatric Subjects,https://clinicaltrials.gov/study/NCT04678336,RECRUITING,"Phase 1 open-label study to evaluate the safety of intravenously administered, lentivirally transduced T cells expressing anti-CD123 chimeric antigen receptors expressing tandem TCRζ and 4-1BB (TCRζ /4-1BB) costimulatory domains in pediatric subjects with relapsed/refractory Acute Myeloid Leukemia (AML).",NO,"Acute Myeloid Leukemia, in Relapse|Acute Myeloid Leukemia, Pediatric|Acute Myeloid Leukemia, Refractory",BIOLOGICAL: CART123 cells; cyclophosphamide; fludarabine,"Evaluate the safety of CART123 in AML subjects, * Occurrence of adverse events that are possibly, probably, or definitely related to CART123 cells
* Occurrence of dose-limiting toxicities (DLTs) and determination of Maximum Tolerated Dose (MTD), 5 Years","Evaluate study feasibility, • Proportion of enrolled subjects that screen fail; Proportion of enrolled subjects who receive study treatment., 15 Years|Evaluate manufacturing feasibility, • Frequency of product release failures; Occurrence of dose failures (inability to meet targeted dose)., 15 Years|Describe preliminary efficacy, * Reduction of blast count in the peripheral blood and marrow using standard clinical criteria (CBC with differential count, marrow aspirate with differential count) and flow cytometry
* Overall Response Rate (ORR) at 28 +/- 5 days
* Overall survival (OS)
* Progression-free survival (PFS)
* Duration of Response (DOR), 15 Years|Evaluate the need for rescue alloHCT, • Percentage of subjects proceeding to alloHCT (or second allogeneic HCT), 15 Years","Determine persistence and trafficking of CART123 cells, * The duration of in vivo survival of CART123 cells (""persistence"") is defined as the period of time above the limit of detection of Q-PCR for peripheral blood CART123 transgene sequences and/or flow cytometry for scFv surface expression.
* Trafficking will be determined by performing Q-PCR and flow cytometry as above on bone marrow samples and/or other tissue biopsies as clinically indicated, 15 Years|Analyze CART123 bioactivity, • Multiplex cytokine analysis will be performed at multiple time points; if CRS develops, cytokine analysis will be performed from samples collected during CRS until its clinical resolution to follow the kinetics of cytokines longitudinally. This analysis will be batched and not available in real time or for clinical decisions., 15 Years",University of Pennsylvania,,"CHILD, ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-02-15,2036-01,2036-01
